"AverageJitterInMsAvg","RoundTripLatencyMaxInMs","Packetssentcount","PacketLossRateMax","RoundTripLatencyAvgInMs","PacketLossRateAvg","PacketReorderRatioAvg","PacketReorderRatioMax","Packetssentsum","AverageJitterInMsMax"
"7","18","1","0","18","0","0","0","849","7"
"7","22","1","0","22","0","0","0","849","7"
"51","62","13","0","26","0","0","0","10654","428"
"14","23","13","0","20","0","0","0","11037","46"
"10","33","13","0","26","0","0","0","10842","16"
"38","110","13","0","32","0","0","0","11037","129"
"14","27","13","0","22","0","0","0","11037","23"
"46","206","13","0","48","0","0","0","11037","251"
"8","20","13","0","18","0","0","0","11037","14"
"30","405","13","0","54","0","0","0","11036","194"
"12","37","13","0","21","0","0","0","11037","28"
"7","20","13","0","18","0","0","0","11037","8"
"8","26","13","0","20","0","0","0","11036","14"
"11","21","13","0","19","0","0","0","11037","22"
"10","26","13","0","19","0","0","0","11037","36"
"8","23","13","0","19","0","0","0","11037","10"
"117","403","13","0","94","0","0","0","11037","458"
"10","32","13","0","20","0","0","0","11037","28"
"106","230","13","0","131","0","0","0","11037","195"
"7","20","13","0","18","0","0","0","11037","8"
"19","178","13","0","31","0","0","0","11036","114"
"8","26","13","0","20","0","0","0","11037","14"
"10","45","13","0","21","0","0","0","11037","32"
"9","38","13","0","21","0","0","0","11037","32"
"8","20","13","0","19","0","0","0","11037","10"
"9","24","13","0","20","0","0","0","11037","18"
"8","23","13","0","19","0","0","0","11037","11"
"7","20","13","0","18","0","0","0","11037","8"
"40","67","13","0","22","0","0","0","11037","423"
"8","24","13","0","20","0","0","0","10807","10"
"18","46","13","0","22","0","0","0","11037","69"
"25","59","13","0","26","0","0","0","10782","46"
"9","22","13","0","20","0","0","0","11037","18"
"17","63","13","0","26","0","0","0","11037","54"
"7","20","13","0","19","0","0","0","11037","10"
"8","30","13","0","21","0","0","0","11037","13"
"8","23","13","0","18","0","0","0","11037","12"
"9","32","13","0","22","0","0","0","11037","16"
"9","19","13","0","17","0","0","0","11037","32"
"114","240","13","0","128","0","0","0","11037","190"
"308","2160","13","0","545","0","0","0","9755","999"
"9","32","13","0","25","0","0","0","11037","25"
"8","29","13","0","19","0","0","0","11037","24"
"9","29","13","0","19","0","0","0","11037","38"
